Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
142,Entry long,2024-09-17 12:00,Buy,61117.72,37.564573,2295861.055,100037.86,4.36,1877.45,199348.16,8.68,-73090.41,-3.18,1395788.5,139.58,77
143,Exit short,2024-10-07 00:00,Buy signal — close short,63516.84,37.533454,2395790.02,9871.71,0.41,1911.92,147935.39,6.17,-13340.6,-0.56,1405660.2,140.57,40
143,Entry short,2024-09-30 08:00,Sell,63830.79,37.533454,2395790.02,9871.71,0.41,1911.92,147935.39,6.17,-13340.6,-0.56,1405660.2,140.57,40
144,Exit long,2024-10-09 16:00,Sell signal — close long,60993.47,37.874244,2405652.296,-97457.02,-4.05,1886.29,33796.83,1.40,-103873.4,-4.32,1308203.1,130.82,16
144,Entry long,2024-10-07 00:00,Buy,63516.84,37.874244,2405652.296,-97457.02,-4.05,1886.29,33796.83,1.40,-103873.4,-4.32,1308203.1,130.82,16
145,Exit short,2024-10-11 16:00,Buy signal — close short,63030.66,37.843472,2308204.674,-78971.74,-3.42,1877.4,78232.77,3.39,-90169.16,-3.90,1229231.5,122.92,12
145,Entry short,2024-10-09 16:00,Sell,60993.47,37.843472,2308204.674,-78971.74,-3.42,1877.4,78232.77,3.39,-90169.16,-3.90,1229231.5,122.92,12
146,Exit long,2024-10-21 12:00,Sell signal — close long,67310.06,35.368415,2229294.541,149511.62,6.70,1843.98,227528.47,10.20,-36156.5,-1.62,1378743,137.87,59
146,Entry long,2024-10-11 16:00,Buy,63030.66,35.368415,2229294.541,149511.62,6.70,1843.98,227528.47,10.20,-36156.5,-1.62,1378743,137.87,59
147,Exit short,2024-10-24 16:00,Buy signal — close short,68221.81,35.340104,2378744.521,-34137.22,-1.43,1915.88,73018.88,3.07,-33913.92,-1.43,1344605.9,134.46,19
147,Entry short,2024-10-21 12:00,Sell,67310.06,35.340104,2378744.521,-34137.22,-1.43,1915.88,73018.88,3.07,-33913.92,-1.43,1344605.9,134.46,19
148,Exit long,2024-10-31 16:00,Sell signal — close long,70063.49,34.367793,2344633.044,61393.45,2.62,1901.02,182716.77,7.79,-91948.23,-3.92,1405999.2,140.60,42
148,Entry long,2024-10-24 16:00,Buy,68221.81,34.367793,2344633.044,61393.45,2.62,1901.02,182716.77,7.79,-91948.23,-3.92,1405999.2,140.60,42
149,Exit short,2024-11-06 00:00,Buy signal — close short,74329.56,34.340292,2406000.705,-148481.48,-6.17,1983.4,110634.96,4.60,-171283.38,-7.12,1257517.8,125.75,32
149,Entry short,2024-10-31 16:00,Sell,70063.49,34.340292,2406000.705,-148481.48,-6.17,1983.4,110634.96,4.60,-171283.38,-7.12,1257517.8,125.75,32
150,Exit long,2024-11-25 16:00,Sell signal — close long,94765.6,30.373332,2257636.403,618656.25,27.39,2054.39,768534.25,34.03,-50377.57,-2.23,1876174,187.62,118
150,Entry long,2024-11-06 00:00,Buy,74329.56,30.373332,2257636.403,618656.25,27.39,2054.39,768534.25,34.03,-50377.57,-2.23,1876174,187.62,118
151,Exit short,2024-11-29 08:00,Buy signal — close short,97244.55,30.350417,2876175.477,-77568.2,-2.70,2331.04,119232.34,4.14,-79745.61,-2.77,1798605.9,179.86,22
151,Entry short,2024-11-25 16:00,Sell,94765.6,30.350417,2876175.477,-77568.2,-2.70,2331.04,119232.34,4.14,-79745.61,-2.77,1798605.9,179.86,22
152,Exit long,2024-12-05 20:00,Sell signal — close long,97084.34,28.779685,2798667.517,-6847.88,-0.24,2237.09,196202.69,7.01,-153483.72,-5.48,1791758,179.18,39
152,Entry long,2024-11-29 08:00,Buy,97244.55,28.779685,2798667.517,-6847.88,-0.24,2237.09,196202.69,7.01,-153483.72,-5.48,1791758,179.18,39
153,Exit short,2024-12-11 16:00,Buy signal — close short,101177.18,28.756022,2791759.417,-119974.28,-4.30,2280.49,80057.23,2.87,-142110.64,-5.09,1671783.6,167.18,35
153,Entry short,2024-12-05 20:00,Sell,97084.34,28.756022,2791759.417,-119974.28,-4.30,2280.49,80057.23,2.87,-142110.64,-5.09,1671783.6,167.18,35
154,Exit long,2024-12-18 16:00,Sell signal — close long,102861.78,26.407923,2671879.179,42331.49,1.58,2155.3,188809.5,7.06,-52507.43,-1.96,1714115.1,171.41,42
154,Entry long,2024-12-11 16:00,Buy,101177.18,26.407923,2671879.179,42331.49,1.58,2155.3,188809.5,7.06,-52507.43,-1.96,1714115.1,171.41,42
155,Exit short,2024-12-25 20:00,Buy signal — close short,99363.72,26.386054,2714116.482,90165.63,3.32,2134.37,279985.72,10.31,-4052.49,-0.15,1804280.8,180.43,43
155,Entry short,2024-12-18 16:00,Sell,102861.78,26.386054,2714116.482,90165.63,3.32,2134.37,279985.72,10.31,-4052.49,-0.15,1804280.8,180.43,43
